study_id	bioproject_id	sample_id	library_strategy	organism	organism_enriched	organism_ontology	tissue	tissue_enriched	tissue_ontology	cell_type	cell_type_enriched	cell_type_ontology	cell_line	cell_line_enriched	cell_line_ontology	strain	strain_enriched	strain_ontology	developmental_stage	developmental_stage_enriched	developmental_stage_ontology	genotype	genotype_enriched	genotype_ontology	age	age_enriched	age_ontology	sex	sex_enriched	sex_ontology	condition	condition_enriched	condition_ontology	treatment	treatment_enriched	treatment_ontology	timepoint	timepoint_enriched	timepoint_ontology	replicate	replicate_enriched	replicate_ontology	batch	batch_enriched	batch_ontology	disease	disease_enriched	disease_ontology	stress	stress_enriched	stress_ontology	temperature	temperature_enriched	temperature_ontology	growth_condition	growth_condition_enriched	growth_condition_ontology	sample_title	sample_description
PRJNA918384		SRS16351699	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		cpeb1b mutant	no		16 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_2	
PRJNA918384		SRS16351700	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		wild type	no		22 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_wt+lowdoseMO_22h_replicate_1	
PRJNA918384		SRS16351701	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		wild type	no		22 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_wt+lowdoseMO_22h_replicate_2	
PRJNA918384		SRS16351702	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		cpeb1b mutant	no		22 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_cpeb1bmutant+lowdoseMO_22h_replicate_1	
PRJNA918384		SRS16351703	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		cpeb1b mutant	no		22 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_cpeb1bmutant+lowdoseMO_22h_replicate_2	
PRJNA1238785		SRS24430789	RNA-Seq	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		WT	no			no			no			no			no			no			no			no			no			no			no			no		sibling-RNAsseq	
PRJNA1238785		SRS24430790	RNA-Seq	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		mutant	no			no			no			no			no			no			no			no			no			no			no			no		mutant-RNAsseq	
PRJNA1238785		SRS24430791	OTHER	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		WT	no			no			no			no			no			no			no			no			no			no			no			no		sibling-riboseq	
PRJNA1238785		SRS24430792	OTHER	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		mutant	no			no			no			no			no			no			no			no			no			no			no			no		mutant-riboseq	
PRJNA1224258		SRS24091006	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		wild type	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, wild-type, biol rep 1	
PRJNA1224258		SRS24091005	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		wild type	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, wild-type, biol rep 2	
PRJNA1224258		SRS24091007	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		wild type	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, wild-type, biol rep 3	
PRJNA1224258		SRS24091009	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		wild type	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, wild-type, biol rep 4	
PRJNA1224258		SRS24091008	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		Neutrophil deficient mutant	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, Rac2D57N, biol rep 1	
PRJNA1224258		SRS24091010	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		Neutrophil deficient mutant	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, Rac2D57N, biol rep 2	
PRJNA1224258		SRS24091013	RNA-Seq	Mycobacterium marinum	no	NCBITaxon:1781	Granulomas	no			no			no			no			no		Neutrophil deficient mutant	no			no			no			no			no			no			no			no			no			no			no			no		Granulomas, Rac2D57N, biol rep 3	
